Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
11795,456,844,819,983,1132,958,1185,1008,928,752,599,498,666,334,352,208,73,3.87,7.16,6.94,8.33,9.6,8.12,10.05,8.55,7.87,6.38,5.08,4.22,5.65,2.83,2.98,1.76,0.62
53503,2145,4948,4245,4153,4288,3751,4372,4122,4172,3491,3097,2157,3476,1900,1811,992,383,4.01,9.25,7.93,7.76,8.01,7.01,8.17,7.7,7.8,6.52,5.79,4.03,6.5,3.55,3.38,1.85,0.72
41913,1153,2440,2458,2447,2903,2646,3394,3380,3639,3040,2963,2378,3798,2121,1975,950,228,2.75,5.82,5.86,5.84,6.93,6.31,8.1,8.06,8.68,7.25,7.07,5.67,9.06,5.06,4.71,2.27,0.54
12139,527,1129,1008,1008,1250,962,1000,822,898,714,652,492,624,379,371,241,62,4.34,9.3,8.3,8.3,10.3,7.92,8.24,6.77,7.4,5.88,5.37,4.05,5.14,3.12,3.06,1.99,0.51
40123,1289,3916,3226,3126,3223,3005,3307,2843,3304,2591,2499,1798,2740,1269,1143,640,204,3.21,9.76,8.04,7.79,8.03,7.49,8.24,7.09,8.23,6.46,6.23,4.48,6.83,3.16,2.85,1.6,0.51
13052,507,1115,1309,1129,1144,960,1069,921,969,772,755,519,791,368,435,228,61,3.88,8.54,10.03,8.65,8.76,7.36,8.19,7.06,7.42,5.91,5.78,3.98,6.06,2.82,3.33,1.75,0.47
18093,676,1578,1552,1425,1820,1339,1434,1428,1438,1164,996,773,1029,552,527,258,104,3.74,8.72,8.58,7.88,10.06,7.4,7.93,7.89,7.95,6.43,5.5,4.27,5.69,3.05,2.91,1.43,0.57
563277,27819,50402,40232,39013,41664,35431,39816,35649,39473,31204,29169,25531,40975,27682,29707,20581,8929,4.94,8.95,7.14,6.93,7.4,6.29,7.07,6.33,7.01,5.54,5.18,4.53,7.27,4.91,5.27,3.65,1.59
18880,689,1460,1437,1529,1807,1631,1797,1610,1541,1155,964,663,998,559,531,379,130,3.65,7.73,7.61,8.1,9.57,8.64,9.52,8.53,8.16,6.12,5.11,3.51,5.29,2.96,2.81,2.01,0.69
13310,369,795,933,825,985,919,1003,1026,1197,954,853,606,1157,572,659,318,139,2.77,5.97,7.01,6.2,7.4,6.9,7.54,7.71,8.99,7.17,6.41,4.55,8.69,4.3,4.95,2.39,1.04
