Households,"Households: Less than $5,000","Households: $5,000 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $32,499","Households: $32,500 to $34,999","Households: $35,000 to $37,499","Households: $37,500 to $39,999","Households: $40,000 to $42,499","Households: $42,500 to $44,999","Households: $45,000 to $47,499","Households: $47,500 to $49,999","Households: $50,000 to $54,999","Households: $55,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 or more","% Households: Less than $5,000","% Households: $5,000 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $32,499","% Households: $32,500 to $34,999","% Households: $35,000 to $37,499","% Households: $37,500 to $39,999","% Households: $40,000 to $42,499","% Households: $42,500 to $44,999","% Households: $45,000 to $47,499","% Households: $47,500 to $49,999","% Households: $50,000 to $54,999","% Households: $55,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 or more"
139392,8185,13593,6735,6145,7104,6211,7356,6082,7429,6076,7240,5391,5733,4567,5030,3908,3919,3192,5914,4122,7934,4311,1346,559,1310,5.87,9.75,4.83,4.41,5.1,4.46,5.28,4.36,5.33,4.36,5.19,3.87,4.11,3.28,3.61,2.8,2.81,2.29,4.24,2.96,5.69,3.09,0.97,0.4,0.94
200583,12716,19794,9306,8096,9197,9058,9599,8434,9500,7674,9144,7040,8009,5713,7177,5294,5478,4132,8677,6963,13288,9205,3190,1383,2516,6.34,9.87,4.64,4.04,4.59,4.52,4.79,4.2,4.74,3.83,4.56,3.51,3.99,2.85,3.58,2.64,2.73,2.06,4.33,3.47,6.62,4.59,1.59,0.69,1.25
85921,5601,8258,3771,3760,4322,4141,4435,3630,4063,3569,3995,3308,3424,2780,3339,2530,2225,2053,3905,2647,5491,2935,756,302,681,6.52,9.61,4.39,4.38,5.03,4.82,5.16,4.22,4.73,4.15,4.65,3.85,3.99,3.24,3.89,2.94,2.59,2.39,4.54,3.08,6.39,3.42,0.88,0.35,0.79
32011,1960,3640,1847,1594,1767,1843,1850,1655,1771,1542,1476,1290,1322,1234,1176,740,744,693,929,751,1203,534,174,86,190,6.12,11.37,5.77,4.98,5.52,5.76,5.78,5.17,5.53,4.82,4.61,4.03,4.13,3.85,3.67,2.31,2.32,2.16,2.9,2.35,3.76,1.67,0.54,0.27,0.59
11084,481,779,459,493,480,441,419,430,377,456,600,427,481,498,450,359,346,352,611,577,784,472,166,72,74,4.34,7.03,4.14,4.45,4.33,3.98,3.78,3.88,3.4,4.11,5.41,3.85,4.34,4.49,4.06,3.24,3.12,3.18,5.51,5.21,7.07,4.26,1.5,0.65,0.67
11260,482,892,394,481,575,611,681,559,711,534,691,516,536,459,507,398,304,284,367,367,549,183,86,57,36,4.28,7.92,3.5,4.27,5.11,5.43,6.05,4.96,6.31,4.74,6.14,4.58,4.76,4.08,4.5,3.53,2.7,2.52,3.26,3.26,4.88,1.63,0.76,0.51,0.32
4086,491,591,341,238,206,281,252,179,219,165,173,100,169,131,24,75,57,35,96,52,108,53,1,25,24,12.02,14.46,8.35,5.82,5.04,6.88,6.17,4.38,5.36,4.04,4.23,2.45,4.14,3.21,0.59,1.84,1.4,0.86,2.35,1.27,2.64,1.3,0.02,0.61,0.59
39030,1284,2072,1373,1240,1419,1509,1661,1550,1697,1283,1881,1441,1599,1599,1666,1433,1477,944,2351,1761,3849,2411,863,225,442,3.29,5.31,3.52,3.18,3.64,3.87,4.26,3.97,4.35,3.29,4.82,3.69,4.1,4.1,4.27,3.67,3.78,2.42,6.02,4.51,9.86,6.18,2.21,0.58,1.13
23621,1651,2852,1358,1291,1288,1202,1337,1063,1101,828,1094,809,898,857,790,658,646,463,869,577,1003,606,202,68,110,6.99,12.07,5.75,5.47,5.45,5.09,5.66,4.5,4.66,3.51,4.63,3.42,3.8,3.63,3.34,2.79,2.73,1.96,3.68,2.44,4.25,2.57,0.86,0.29,0.47
35646,1832,2637,1702,1412,1794,1738,1959,1675,1901,1735,1973,1520,1676,1373,1193,1154,1069,821,1594,1045,2023,972,389,171,288,5.14,7.4,4.77,3.96,5.03,4.88,5.5,4.7,5.33,4.87,5.53,4.26,4.7,3.85,3.35,3.24,3,2.3,4.47,2.93,5.68,2.73,1.09,0.48,0.81
13821,541,1146,714,593,634,766,747,656,896,572,728,650,632,584,556,524,404,341,529,467,602,266,106,60,107,3.91,8.29,5.17,4.29,4.59,5.54,5.4,4.75,6.48,4.14,5.27,4.7,4.57,4.23,4.02,3.79,2.92,2.47,3.83,3.38,4.36,1.92,0.77,0.43,0.77
39795,1860,3317,1834,1578,1859,1833,1710,1500,1893,1616,1874,1423,1648,1354,1384,1161,1261,908,1848,1534,2838,1861,737,404,560,4.67,8.34,4.61,3.97,4.67,4.61,4.3,3.77,4.76,4.06,4.71,3.58,4.14,3.4,3.48,2.92,3.17,2.28,4.64,3.85,7.13,4.68,1.85,1.02,1.41
8154,380,686,446,407,434,417,494,390,431,377,469,356,467,307,302,228,272,219,293,181,365,130,60,18,25,4.66,8.41,5.47,4.99,5.32,5.11,6.06,4.78,5.29,4.62,5.75,4.37,5.73,3.77,3.7,2.8,3.34,2.69,3.59,2.22,4.48,1.59,0.74,0.22,0.31
